league,season,matchId,goalsFor,goalsAgainst,totalGoalsBeforeAvg,totalGoalsAgainstBeforeAvg,opponentTotalGoalsBeforeAvg,opponentTotalGoalsAgainstBeforeAvg
bl1,2004,1377,4,1,2,1,1.8,1.6
bl1,2004,1391,1,2,2.3333333333333335,1,1.6666666666666667,1.3333333333333333
bl1,2004,1394,1,2,2.142857142857143,1.1428571428571428,1.5714285714285714,1.2857142857142858
bl1,2004,1409,4,1,2,1.25,1.875,1.5
bl1,2004,1419,2,1,2.2222222222222223,1.2222222222222223,1.8888888888888888,0.7777777777777778
bl1,2004,1427,1,1,2.2,1.2,1.4,1.7
bl1,2004,1435,1,1,2.090909090909091,1.1818181818181819,1.1818181818181819,0.9090909090909091
bl1,2004,1445,2,2,2,1.1666666666666667,1.75,1.5
bl1,2004,1451,1,2,2,1.2307692307692308,1.1538461538461537,1.0769230769230769
bl1,2004,1463,2,0,1.9285714285714286,1.2857142857142858,1.1428571428571428,1.2857142857142858
bl1,2004,1466,6,0,1.9333333333333333,1.2,0.8666666666666667,2.066666666666667
bl1,2004,1481,1,1,2.1875,1.125,1.3125,1.5625
bl1,2004,1490,1,2,2.1176470588235294,1.1176470588235294,1.5294117647058822,1.2352941176470589
bl1,2004,1501,3,2,2.0555555555555554,1.1666666666666667,0.7222222222222222,2
bl1,2004,1510,3,2,2.1052631578947367,1.2105263157894737,1.736842105263158,1.5263157894736843
bl1,2004,1513,2,0,2.15,1.25,1.25,1.65
bl1,2004,1526,4,1,2.142857142857143,1.1904761904761905,1.2380952380952381,1.0476190476190477
bl1,2004,1531,4,0,2.227272727272727,1.1818181818181819,1.3181818181818181,2
bl1,2004,1544,0,1,2.3043478260869565,1.1304347826086956,1.9565217391304348,1
bl1,2004,1547,0,0,2.2083333333333335,1.125,1.3333333333333333,1.6666666666666667
bl1,2004,1562,2,1,2.12,1.08,1.72,1.88
bl1,2004,1570,1,2,2.1153846153846154,1.0769230769230769,1.7692307692307692,1.1538461538461537
bl1,2004,1580,2,1,2.074074074074074,1.1111111111111112,1.7777777777777777,1.5925925925925926
bl1,2004,1587,0,1,2.0714285714285716,1.1071428571428572,1.7857142857142858,0.9642857142857143
bl1,2004,1600,1,2,2,1.103448275862069,1.7241379310344827,1.2758620689655173
bl1,2004,1604,3,0,1.9666666666666666,1.1333333333333333,1.1666666666666667,1.3666666666666667
bl1,2004,1618,0,1,2,1.096774193548387,1.3548387096774193,1.3548387096774193
bl1,2004,1620,4,1,1.9375,1.09375,0.84375,2.125
bl1,2004,1636,2,1,2,1.0909090909090908,1.2727272727272727,1.5151515151515151
bl1,2004,1383,1,1,1.8,1.8,1.6,1.4
bl1,2004,1387,2,2,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667
bl1,2004,1399,0,2,1.7142857142857142,1.7142857142857142,2.142857142857143,0.7142857142857143
bl1,2004,1404,0,2,1.5,1.75,1,2.125
bl1,2004,1415,1,0,1.3333333333333333,1.7777777777777777,1.1111111111111112,0.8888888888888888
bl1,2004,1422,1,0,1.3,1.6,1.7,1.6
bl1,2004,1433,0,1,1.2727272727272727,1.4545454545454546,1,1.0909090909090908
bl1,2004,1439,0,1,1.1666666666666667,1.4166666666666667,1.1666666666666667,1.8333333333333333
bl1,2004,1450,2,0,1.0769230769230769,1.3846153846153846,1,2
bl1,2004,1474,0,1,1.0666666666666667,1.3333333333333333,1.6,1.3333333333333333
bl1,2004,1479,1,1,1,1.3125,0.75,2.1875
bl1,2004,1487,2,1,1,1.2941176470588236,1.8823529411764706,1.5294117647058822
bl1,2004,1496,1,1,1.0555555555555556,1.2777777777777777,1.1666666666666667,1.6666666666666667
bl1,2004,1503,3,1,1.0526315789473684,1.263157894736842,1.3157894736842106,1
bl1,2004,1511,1,0,1.15,1.25,1.3,2.1
bl1,2004,1522,0,5,1.1428571428571428,1.1904761904761905,1.8571428571428572,1.0952380952380953
bl1,2004,1529,3,0,1.0909090909090908,1.3636363636363635,1.2272727272727273,1.6818181818181819
bl1,2004,1546,2,2,1.173913043478261,1.3043478260869565,1.6521739130434783,1.8695652173913044
bl1,2004,1555,0,2,1.2083333333333333,1.3333333333333333,1.7916666666666667,1.25
bl1,2004,1557,3,2,1.16,1.36,1.8,1.56
bl1,2004,1573,2,1,1.2307692307692308,1.3846153846153846,1.7692307692307692,0.9230769230769231
bl1,2004,1575,1,0,1.2592592592592593,1.3703703703703705,1.7407407407407407,1.2962962962962963
bl1,2004,1585,1,1,1.25,1.3214285714285714,1.1071428571428572,1.3928571428571428
bl1,2004,1592,4,2,1.2413793103448276,1.3103448275862069,1.2413793103448276,1.3103448275862069
bl1,2004,1603,2,2,1.3333333333333333,1.3333333333333333,0.8,2.1333333333333333
bl1,2004,1621,2,1,1.34375,1.3125,1.625,1.3125
bl1,2004,1634,2,1,1.3636363636363635,1.303030303030303,0.9090909090909091,1.9090909090909092
bl1,2004,1380,1,2,1.8,2.2,1.8,0.8
bl1,2004,1385,0,2,1.6666666666666667,2.1666666666666665,0.8333333333333334,1
bl1,2004,1402,0,2,1.4285714285714286,2.142857142857143,1.5714285714285714,1.7142857142857142
bl1,2004,1403,0,0,1.25,2.125,1.75,1.75
bl1,2004,1414,1,3,1.1111111111111112,1.8888888888888888,1.4444444444444444,1.1111111111111112
bl1,2004,1428,2,1,1.1,2,1,1
bl1,2004,1432,1,1,1.1818181818181819,1.9090909090909092,1.3636363636363635,2
bl1,2004,1449,1,3,1.1538461538461537,1.6923076923076923,1.6923076923076923,1
bl1,2004,1457,3,0,1.1428571428571428,1.7857142857142858,0.9285714285714286,2
bl1,2004,1473,2,0,1.2666666666666666,1.6666666666666667,1.6,1.6
bl1,2004,1485,3,1,1.2941176470588236,1.5294117647058822,1.6470588235294117,1.5294117647058822
bl1,2004,1498,2,0,1.3888888888888888,1.5,1.5555555555555556,1.2222222222222223
bl1,2004,1502,1,1,1.4210526315789473,1.4210526315789473,1.9473684210526316,1.3157894736842106
bl1,2004,1515,2,1,1.4,1.4,0.85,2.05
bl1,2004,1520,1,2,1.4285714285714286,1.380952380952381,1.7619047619047619,1.4761904761904763
bl1,2004,1533,0,0,1.4090909090909092,1.4090909090909092,1.7727272727272727,1.5909090909090908
bl1,2004,1545,1,1,1.3478260869565217,1.3478260869565217,1.6956521739130435,0.8695652173913043
bl1,2004,1550,1,0,1.3333333333333333,1.3333333333333333,1.125,1.5833333333333333
bl1,2004,1556,0,2,1.32,1.28,1.8,1.36
bl1,2004,1567,0,2,1.2692307692307692,1.3076923076923077,1.1153846153846154,1.1538461538461537
bl1,2004,1581,2,0,1.2222222222222223,1.3333333333333333,1.1481481481481481,1.3703703703703705
bl1,2004,1590,1,2,1.25,1.2857142857142858,1.3571428571428572,2
bl1,2004,1602,0,4,1.2666666666666666,1.4,1.9333333333333333,0.9
bl1,2004,1610,2,1,1.2258064516129032,1.4838709677419355,0.8387096774193549,2.129032258064516
bl1,2004,1619,2,3,1.25,1.46875,1.40625,1.625
bl1,2004,1381,0,3,2,1.6,2,1
bl1,2004,1388,3,0,1.6666666666666667,1.8333333333333333,1.3333333333333333,2
bl1,2004,1397,1,3,1.8571428571428572,1.5714285714285714,1,0.8571428571428571
bl1,2004,1417,3,2,1.5555555555555556,1.5555555555555556,0.8888888888888888,0.7777777777777778
bl1,2004,1434,4,1,1.5454545454545454,1.5454545454545454,0.9090909090909091,1.7272727272727273
bl1,2004,1452,0,3,1.7692307692307692,1.5384615384615385,1.4615384615384615,1.4615384615384615
bl1,2004,1462,2,0,1.6428571428571428,1.6428571428571428,0.7857142857142857,2.2857142857142856
bl1,2004,1468,2,1,1.6666666666666667,1.5333333333333334,1.7333333333333334,1.6
bl1,2004,1482,1,1,1.6875,1.5,1.1875,1.8125
bl1,2004,1491,3,0,1.6470588235294117,1.4705882352941178,1.411764705882353,0.9411764705882353
bl1,2004,1494,4,0,1.7222222222222223,1.3888888888888888,1.3888888888888888,2.0555555555555554
bl1,2004,1505,0,2,1.8421052631578947,1.3157894736842106,1.894736842105263,1.0526315789473684
bl1,2004,1518,2,0,1.75,1.35,1.35,1.75
bl1,2004,1524,4,2,1.7619047619047619,1.2857142857142858,1.6666666666666667,1.7142857142857142
bl1,2004,1537,1,1,1.8636363636363635,1.3181818181818181,1.8181818181818181,1.2727272727272727
bl1,2004,1540,0,1,1.826086956521739,1.3043478260869565,1.7391304347826086,1.565217391304348
bl1,2004,1551,3,3,1.75,1.2916666666666667,1.6666666666666667,0.875
bl1,2004,1568,0,1,1.8076923076923077,1.3076923076923077,1.1538461538461537,1.4230769230769231
bl1,2004,1586,3,1,1.6785714285714286,1.2857142857142858,0.7857142857142857,2.0714285714285716
bl1,2004,1605,3,3,1.7333333333333334,1.2666666666666666,1.5666666666666667,1.3
bl1,2004,1615,3,0,1.7741935483870968,1.3225806451612903,0.9354838709677419,1.903225806451613
bl1,2004,1623,2,2,1.8125,1.28125,1.40625,1.5
bl1,2004,1632,5,1,1.8181818181818181,1.303030303030303,1.0303030303030303,1.393939393939394
bl1,2004,1376,1,3,1,0.8,1.4,1.4
bl1,2004,1386,1,2,1,1.1666666666666667,1.5,1.3333333333333333
bl1,2004,1400,0,3,1,1.2857142857142858,1.7142857142857142,1.7142857142857142
bl1,2004,1410,2,0,0.875,1.5,2.125,0.625
bl1,2004,1418,0,4,1,1.3333333333333333,1.1111111111111112,1.8888888888888888
bl1,2004,1421,1,3,0.9,1.6,1,0.9
bl1,2004,1440,2,3,0.9166666666666666,1.9166666666666667,1,1
bl1,2004,1480,1,1,0.8125,2.3125,1.5625,1.25
bl1,2004,1486,0,0,0.8235294117647058,2.235294117647059,0.7647058823529411,2.1176470588235294
bl1,2004,1497,1,0,0.7777777777777778,2.111111111111111,1.8333333333333333,1.5555555555555556
bl1,2004,1509,2,3,0.7894736842105263,2,1.1578947368421053,1.631578947368421
bl1,2004,1512,0,0,0.85,2.05,1.3,1.1
bl1,2004,1521,1,3,0.8095238095238095,1.9523809523809523,1.2380952380952381,2.0476190476190474
bl1,2004,1530,0,1,0.8181818181818182,2,2,1.0454545454545454
bl1,2004,1538,0,5,0.782608695652174,1.9565217391304348,1.173913043478261,1.7391304347826086
bl1,2004,1553,2,3,0.75,2.0833333333333335,1.6666666666666667,1.875
bl1,2004,1563,0,1,0.8,2.12,1.8,1.2
bl1,2004,1569,1,1,0.7692307692307693,2.076923076923077,1.8076923076923077,1.6153846153846154
bl1,2004,1574,1,3,0.7777777777777778,2.037037037037037,1.7407407407407407,0.9629629629629629
bl1,2004,1593,1,3,0.7931034482758621,2.103448275862069,1.103448275862069,1.3793103448275863
